# 
# Mensagens gerais
# 
"MN167";"Não é possível a inclusão deste dado, pois já existe 10 (dez) registros de <ENDEREÇO ; TELEFONE ; E-MAIL> para esta pessoa na base de dados do sistema.";"Confirmação"
"MN168";"A Sigla informada já existe. Deseja alterar as informações?";"Confirmação"
"MN169";Atenção! O prazo para confirmar seu cadastro pelo link  é de 7(sete) dias, caso não tenha confirmado neste período, é necessário efetuar o cadastro novamente na opção: "cadastra-se".;"Alerta"
"MN170";"Não há nenhum sistema vinculado ao seu usuário.";"Alerta"
"MN171";"Problema de verificação com o LDAP.";"Erro"
"MN172";"Problema no reenvio do e-mail de ativação.";"Erro"
"MN173";"Deseja realmente reenviar o e-mail de ativação?";"Confirmação"
"MN174";"Reenvio do e-mail de ativaçao realizado com sucesso.";"Sucesso"
"MN175";"Usuário inexistente no LDAP.";"Erro"
"MN176";"Erro ao remover a Funcionalidade.";"Erro"
"MN177";"Informe uma Funcionalide válida.";"Erro"
"MN178";"Funcionalidade existente em um ou mais perfis.";"Erro"
"MN179";"Funcionalidade removida com sucesso.";"Sucesso"
"MN180";"Deseja realmente remover este Menu?";"Confirmação"
"MN181";"Erro ao remover o Menu.";"Erro"
"MN182";"Menu existente em uma ou mais funcionalidades.";"Erro"
"MN183";"Informe um Menu válido.";"Erro"
"MN184";"Menu removido com sucesso.";"Sucesso"
"MN185";"Menu é pai de outro(s) menu(s).";"Erro"
"MN186";"Deseja realmente remover este Perfil?";"Confirmação"
"MN187";"Erro ao remover o Perfil.";"Erro"
"MN188";"Perfil removido com sucesso.";"Sucesso"
"MN189";"Informe um Perfil válido.";"Erro"
"MN190";"Perfil com usário(s) associado(s).";"Erro"
"MN191";"Perfil com usário(s) externo(s) associado(s).";"Erro"
#
# Mensagens coringas
#
"EXPIRED_PWD_MSG";"{{changePasswordTrigger}}<span>Senha expirada. <br ><small>Informe os dados a abaixo para proceder com a troca de senha.</span>";"Erro"
#
# Mensagens do LDAP
#
"LDAP0x00";"Requisição com o LDAP foi bem sucedida.";"Erro"
"LDAP0x01";"Inicialização da biblioteca do LDAP falhou.";"Erro"
"LDAP0x02";"Ocorreu um erro de protocolo no LDAP.";"Erro"
"LDAP0x03";"Prazo excedeu no LDAP.";"Erro"
"LDAP0x04";"Tamanho limite foi excedido no LDAP.";"Erro"
"LDAP0x05";"Comparação no LDAP não existe.";"Erro"
"LDAP0x06";"Comparação no LDAP existente.";"Erro"
"LDAP0x07";"O método de autenticação no LDAP não é suportado.";"Erro"
"LDAP0x08";"A autenticação forte no LDAP é necessária.";"Erro"
"LDAP0x09";"Encaminhado para a versão 2 do LDAP.";"Erro"
"LDAP0x09";"Resultados parciais e encaminhamentos recebidos no LDAP.";"Erro"
"LDAP0x0a";"Ocorreu um encaminhamento no LDAP.";"Erro"
"LDAP0x0b";"Limite do administrador no servidor do LDAP excedeu.";"Erro"
"LDAP0x0c";"Extensão crítica não está disponível no LDAP.";"Erro"
"LDAP0x0d";"O sigilo é necessário no LDAP.";"Erro"
"LDAP0x10";"Atributo solicitado não existe no LDAP.";"Erro"
"LDAP0x11";"O tipo não está definido no LDAP.";"Erro"
"LDAP0x12";"Ocorreu uma correspondência inadequada no LDAP.";"Erro"
"LDAP0x13";"Uma violação de restrição ocorreu no LDAP.";"Erro"
"LDAP0x14";"O atributo existe ou o valor foi atribuído no LDAP.";"Erro"
"LDAP0x15";"A sintaxe é inválida no LDAP.";"Erro"
"LDAP0x20";"Objeto não existe no LDAP.";"Erro"
"LDAP0x21";"A sigla (apelido) é inválida no LDAP.";"Erro"
"LDAP0x22";"O nome distinto tem uma sintaxe inválida no LDAP.";"Erro"
"LDAP0x23";"O objeto é um objeto que pode conter outros objetos no LDAP.";"Erro"
"LDAP0x24";"Não pode indentificar o apelido no LDAP.";"Erro"
"LDAP0x30";"A autenticação no LDAP é inadequada.";"Erro"
"LDAP0x31";"Usuário/senha do LDAP inválidos.";"Erro"
"LDAP0x32";"Os direitos de acesso do usuário são insuficientes no LDAP.";"Erro"
"LDAP0x33";"O servidor do LDAP está ocupado.";"Erro"
"LDAP0x34";"O servidor do LDAP não está disponível.";"Erro"
"LDAP0x35";"O servidor do LDAP não manipula requisições do diretório.";"Erro"
"LDAP0x36";"A cadeia de encaminhamento tem loop de volta para um servidor de referência no LDAP.";"Erro"
"LDAP0x40";"Houve uma violação de nome no LDAP.";"Erro"
"LDAP0x41";"Ocorreu uma violação na classe do objeto no LDAP.";"Erro"
"LDAP0x42";"Operação não é permitida em um objeto que pode conter outros objetos no LDAP.";"Erro"
"LDAP0x43";"A operação não é permitida em um atributo RDN do LDAP.";"Erro"
"LDAP0x44";"O objeto já existe no LDAP.";"Erro"
"LDAP0x45";"Não pode modificar a classe de objeto no LDAP.";"Erro"
"LDAP0x46";"Os resultados retornados são muito grandes no LDAP.";"Erro"
"LDAP0x47";"Vários agentes do serviço de diretório do LDAP são afetados.";"Erro"
"LDAP0x50";"Ocorreu um erro desconhecido no LDAP.";"Erro"
"LDAP0x51";"Não foi possível conectar no servidor LDAP.";"Erro"
"LDAP0x52";"Ocorreu um erro local no LDAP.";"Erro"
"LDAP0x53";"Ocorreu um erro de codificação no LDAP.";"Erro"
"LDAP0x54";"Ocorreu um erro de decodificação no LDAP.";"Erro"
"LDAP0x55";"O tempo de consulta no LDAP expodiu.";"Erro"
"LDAP0x56";"Ocorreu um erro de autenticação no LDAP desconhecido.";"Erro"
"LDAP0x57";"O filtro de pesquisa no LDAP está incorreto.";"Erro"
"LDAP0x58";"O usuário cancelou a operação com o LDAP.";"Erro"
"LDAP0x59";"Um parâmetro incorreto foi passado para a rotina no LDAP.";"Erro"
"LDAP0x5a";"O sistema no LDAP está sem memória.";"Erro"
"LDAP0x5b";"Não é possível estabelecer uma conexão com o servidor do LDAP.";"Erro"
"LDAP0x5c";"O recurso não é suportado no LDAP.";"Erro"
"LDAP0x5d";"AO controle especificado não foi encontrado no LDAP.";"Erro"
"LDAP0x5e";"Não foi devolvido nenhum resultado LDAP.";"Erro"
"LDAP0x5f";"Resultados adicionais devem ser devolvidos do LDAP.";"Erro"
"LDAP0x60";"Loop no cliente foi detectado.";"Erro"
"LDAP0x61";"O limite de encaminhamento foi excedido.";"Erro"
"LDAP0x0E";"Ligamento intermediário para multiplos estágios de ligação";"Erro"
